x	y	r	P( r )	I	SINR	SINRdB	SC	Throughput
0.19	0.82	0.841724	9.28114e-009	9.52517e-009	0.974377	-0.112731	4.55649	3.9936
-0.27	0.28	0.388973	1.61446e-007	4.59593e-009	35.1278	15.4565	24.027	19.968
0.76	-0.19	0.78339	1.21063e-008	8.14619e-009	1.48612	1.72055	6.10024	5.3248
-0.4	0.45	0.60208	3.20634e-008	5.90341e-009	5.43131	7.34905	12.4666	11.9808
-0.26	-0.11	0.282312	5.28484e-007	4.22768e-009	125.005	20.9693	32.3948	19.968
0.36	0.53	0.640703	2.54742e-008	6.17271e-009	4.12689	6.15622	10.9482	10.6496
-0.78	0.17	0.798311	1.129e-008	8.28283e-009	1.36305	1.34513	5.76017	5.3248
0.33	0.36	0.488365	6.95627e-008	5.09393e-009	13.6559	11.3532	17.9837	15.964
-0.54	0.1	0.549181	4.50591e-008	5.48261e-009	8.21849	9.14792	14.8782	11.9808
-0.28	-0.15	0.317648	3.41611e-007	4.33434e-009	78.8142	18.966	29.3362	19.968
-0.77	0.07	0.773175	1.27087e-008	7.58784e-009	1.67487	2.23981	6.59039	5.3248
-0.33	-0.7	0.773886	1.26656e-008	7.58513e-009	1.66978	2.2266	6.57764	5.3248
0.28	0.31	0.417732	1.23996e-007	4.72173e-009	26.2606	14.193	22.1406	19.968
0.03	0.11	0.114018	1.51333e-005	3.91432e-009	3866.11	35.8727	55.3291	19.968
0.56	-0.46	0.724707	1.61484e-008	7.49196e-009	2.15542	3.33532	7.69708	5.3248
-0.02	-0.84	0.840238	9.34203e-009	1.02909e-008	0.907788	-0.420157	4.32668	3.9936
0.72	-0.45	0.849058	8.98796e-009	1.05511e-008	0.851851	-0.696364	4.12735	3.9936
-0.07	-0.72	0.723395	1.6257e-008	7.56844e-009	2.14799	3.32032	7.68129	5.3248
0.49	-0.79	0.929624	6.42678e-009	9.70944e-009	0.661908	-1.79202	3.40247	2.6624
-0.63	-0.63	0.890955	7.52081e-009	1.04906e-008	0.716904	-1.44539	3.62055	2.6624
0.32	-0.03	0.321403	3.27073e-007	4.34322e-009	75.3058	18.7683	29.0351	19.968
0.68	-0.07	0.683593	2.00437e-008	6.59291e-009	3.04017	4.82898	9.35265	7.9872
0.68	0.22	0.714703	1.70007e-008	7.26072e-009	2.34145	3.69484	8.08076	7.9872
-0.12	0.84	0.848528	9.00876e-009	1.01773e-008	0.885178	-0.529692	4.24683	3.9936
0.84	0.14	0.851587	8.88962e-009	8.97103e-009	0.990921	-0.0396111	4.61238	3.9936
-0.45	0.76	0.883233	7.76698e-009	8.97603e-009	0.865298	-0.628343	4.17581	3.9936
0.6	-0.37	0.704911	1.78909e-008	7.31987e-009	2.44415	3.88127	8.28353	7.9872
-0.16	0.75	0.766877	1.30992e-008	8.08496e-009	1.62019	2.09565	6.45204	5.3248
-0.21	-0.78	0.807775	1.08083e-008	8.63731e-009	1.25134	0.973759	5.43579	5.3248
0.18	0.13	0.222036	1.28518e-006	4.08113e-009	314.905	24.9818	38.5512	19.968
-0.23	0.54	0.586941	3.52314e-008	5.74428e-009	6.13326	7.87691	13.1605	11.9808
0.38	-0.04	0.382099	1.72456e-007	4.56358e-009	37.7892	15.7737	24.5031	19.968
0.34	-0.5	0.604649	3.15623e-008	5.86978e-009	5.37704	7.30544	12.4098	11.9808
0.42	-0.4	0.58	3.68168e-008	5.75902e-009	6.39286	8.05695	13.3999	11.9808
-0.62	-0.23	0.661287	2.26615e-008	6.61966e-009	3.42334	5.3445	9.95956	7.9872
-0.18	-0.39	0.429535	1.1185e-007	4.77145e-009	23.4413	13.6998	21.4094	19.968
0.64	0.09	0.646297	2.46678e-008	6.25881e-009	3.94127	5.95636	10.7012	10.6496
0.13	0.7	0.711969	1.72434e-008	7.26782e-009	2.37256	3.75218	8.14285	7.9872
0.18	-0.25	0.308058	3.82638e-007	4.30127e-009	88.9585	19.4919	30.1377	19.968
0.23	0.46	0.514296	5.74437e-008	5.23059e-009	10.9822	10.4069	16.6345	15.964
-0.26	-0.01	0.260192	7.14728e-007	4.16816e-009	171.472	22.3419	34.4974	19.968
-0.41	-0.46	0.616198	2.94283e-008	6.0275e-009	4.8823	6.88625	11.8689	10.6496
0.2	-0.66	0.689638	1.94014e-008	6.80266e-009	2.85201	4.55152	9.0332	7.9872
-0.2	0.21	0.29	4.78473e-007	4.24857e-009	112.619	20.5161	31.7017	19.968
-0.44	-0.31	0.538238	4.85429e-008	5.46776e-009	8.87795	9.48313	15.341	11.9808
0.57	-0.33	0.658635	2.30009e-008	6.67234e-009	3.44718	5.37463	9.99556	7.9872
-0.16	-0.85	0.864928	8.39276e-009	1.03821e-008	0.808383	-0.923827	3.96825	2.6624
0.71	0.47	0.851469	8.89416e-009	1.05759e-008	0.840981	-0.75214	4.08792	3.9936
0.43	-0.2	0.474236	7.75442e-008	5.03572e-009	15.3987	11.8748	18.7363	15.964
0.85	-0.05	0.851469	8.89416e-009	8.5808e-009	1.03651	0.155748	4.76404	3.9936
0.15	-0.27	0.308869	3.78936e-007	4.30351e-009	88.052	19.4474	30.0698	19.968
-0.47	0.55	0.723464	1.62513e-008	7.135e-009	2.27767	3.57491	7.95169	5.3248
-0.81	0.27	0.853815	8.80408e-009	9.9789e-009	0.882266	-0.544003	4.23647	3.9936
0.46	0.27	0.533385	5.0197e-008	5.43746e-009	9.23164	9.65279	15.5766	11.9808
