-0.11	-0.85	0.857088	8.68032e-009	53.4884
-0.46	-0.7	0.837616	9.45071e-009	53.8576
-0.47	-0.25	0.532353	5.05581e-008	61.1409
0.34	-0.69	0.76922	1.29522e-008	55.2264
-0.11	0.19	0.219545	1.33996e-006	75.3739
0.15	0.52	0.541202	4.75663e-008	60.876
0.43	-0.26	0.502494	6.2596e-008	62.0685
-0.55	0.14	0.567539	3.98976e-008	60.1125
0.23	0.24	0.332415	2.88742e-007	68.7081
0.26	-0.11	0.282312	5.28484e-007	71.3333
0.46	0.49	0.672086	2.13431e-008	57.3956
-0.15	-0.26	0.300167	4.21201e-007	70.3479
-0.24	0.02	0.240832	9.51455e-007	73.8869
-0.19	-0.34	0.389487	1.6066e-007	66.1621
-0.63	0.15	0.647611	2.44832e-008	57.9917
-0.63	0	0.63	2.71125e-008	58.4347
-0.65	-0.05	0.65192	2.38897e-008	57.8851
-0.3	-0.79	0.845044	9.14694e-009	53.7158
-0.39	-0.35	0.524023	5.35962e-008	61.3943
0.24	-0.85	0.883233	7.76698e-009	53.0055
0.13	0.86	0.86977	8.22117e-009	53.2523
-0.47	0.03	0.470956	7.95612e-008	63.11
0.44	-0.5	0.666033	2.20697e-008	57.541
-0.79	-0.1	0.796304	1.13956e-008	54.6704
-0.23	-0.05	0.235372	1.03571e-006	74.2554
-0.05	0.18	0.186815	2.43502e-006	77.968
0.62	0.07	0.623939	2.80998e-008	58.59
-0.26	0.15	0.300167	4.21201e-007	70.3479
-0.75	-0.23	0.784474	1.20445e-008	54.9109
-0.15	-0.15	0.212132	1.52155e-006	75.9259
0.09	-0.23	0.246982	8.66702e-007	73.4817
0.37	0.35	0.509313	5.95505e-008	61.8519
0.63	-0.51	0.810555	1.06717e-008	54.3853
-0.54	0.63	0.829759	9.78606e-009	54.0091
0.29	-0.02	0.290689	4.74291e-007	70.8635
-0.32	0.28	0.425206	1.16122e-007	64.7521
0.02	-0.52	0.520384	5.49959e-008	61.5063
0.54	-0.2	0.575847	3.78088e-008	59.8789
-0.91	0.1	0.915478	6.80194e-009	52.4293
-0.66	0.16	0.679117	2.05369e-008	57.2283
-0.62	-0.34	0.707107	1.76862e-008	56.5794
0.48	0.74	0.882043	7.80581e-009	53.0272
0.86	0.22	0.887694	7.62354e-009	52.9246
-0.23	-0.64	0.680074	2.04302e-008	57.2057
-0.02	0.76	0.760263	1.35258e-008	55.4146
0.37	-0.46	0.590339	3.4487e-008	59.4795
0.09	-0.31	0.3228	3.21866e-007	69.1797
0.52	0.53	0.742496	1.47626e-008	55.7946
0.43	-0.12	0.44643	9.69709e-008	63.9694
-0.52	0.79	0.94578	6.02985e-009	51.9061
0.27	-0.52	0.585918	3.54596e-008	59.6003
0.25	0.79	0.828613	9.83621e-009	54.0313
0.61	0.39	0.724017	1.62054e-008	56.1996
0.15	-0.39	0.417852	1.23865e-007	65.0325
-0.6	-0.69	0.914385	6.83207e-009	52.4485
-0.37	0.36	0.516236	5.66487e-008	61.6349
0.59	0.43	0.730068	1.57139e-008	56.0658
-0.38	-0.34	0.509902	5.92965e-008	61.8333
0.07	-0.62	0.623939	2.80998e-008	58.59
-0.4	-0.27	0.482597	7.26886e-008	62.7177
0.43	0.2	0.474236	7.75442e-008	62.9985
-0.51	0.66	0.834086	9.59952e-009	53.9255
-0.45	0.66	0.798812	1.12638e-008	54.6199
0.4	0.08	0.407922	1.35393e-007	65.419
0.4	0.81	0.903383	7.14504e-009	52.643
0.47	0.07	0.475184	7.69734e-008	62.9664
-0.29	-0.62	0.684471	1.99488e-008	57.1022
0.01	0.43	0.430116	1.11292e-007	64.5676
0.65	0.55	0.851469	8.89416e-009	53.594
-0.78	-0.11	0.787718	1.1862e-008	54.8446
-0.5	-0.67	0.836002	9.51836e-009	53.8886
0.31	-0.46	0.554707	4.34204e-008	60.4799
0.48	0	0.48	7.41545e-008	62.8044
0.53	0.28	0.599416	3.25937e-008	59.2343
0.55	0.07	0.554437	4.34989e-008	60.4878
-0.22	0.73	0.76243	1.33841e-008	55.3689
-0.9	0.05	0.901388	7.20372e-009	52.6786
0.62	0.55	0.828794	9.82827e-009	54.0278
-0.67	-0.15	0.686586	1.97224e-008	57.0526
0.65	0.56	0.857963	8.64763e-009	53.472
-0.47	0.02	0.470425	7.9894e-008	63.1281
0.17	0.68	0.700928	1.827e-008	56.7204
0.02	0.29	0.290689	4.74291e-007	70.8635
-0.09	0.43	0.439318	1.02908e-007	64.2275
0.28	-0.06	0.286356	5.01389e-007	71.1047
-0.18	-0.83	0.849294	8.97874e-009	53.6352
0.75	0.4	0.85	8.95117e-009	53.6218
-0.8	-0.07	0.803057	1.10451e-008	54.5347
-0.72	0.12	0.729932	1.57248e-008	56.0689
-0.27	-0.64	0.694622	1.88912e-008	56.8656
