0.29	-0.88	0.926553	6.50595e-009
-0.33	-0.71	0.782943	1.21319e-008
0.15	-0.04	0.155242	4.83057e-006
0.31	0.58	0.657647	2.31289e-008
0.36	0.51	0.62426	2.80465e-008
-0.68	-0.02	0.680294	2.04057e-008
-0.18	0.18	0.254558	7.75026e-007
0.88	0.35	0.947048	6.00003e-009
0.8	0.27	0.844334	9.17544e-009
0.73	0.49	0.879204	7.89947e-009
0.25	0.15	0.291548	4.69143e-007
0.87	0.02	0.87023	8.20511e-009
-0.38	0.19	0.424853	1.16479e-007
-0.46	0.75	0.87983	7.87872e-009
-0.18	-0.06	0.189737	2.29917e-006
0.63	-0.66	0.912414	6.88683e-009
0.16	0.52	0.544059	4.66488e-008
0.34	0.49	0.596406	3.32066e-008
-0.07	-0.49	0.494975	6.6187e-008
-0.95	-0.28	0.990404	5.08422e-009
0.73	0.51	0.890505	7.53485e-009
-0.65	0.41	0.768505	1.29968e-008
-0.78	0.57	0.966075	5.5743e-009
0.46	0.16	0.487032	7.02697e-008
0.46	-0.6	0.756042	1.38073e-008
-0.16	0.39	0.421545	1.19897e-007
0.14	-0.5	0.51923	5.54496e-008
-0.14	-0.45	0.471275	7.93625e-008
-0.39	0.82	0.90802	7.01096e-009
0.68	0.23	0.717844	1.6727e-008
-0.24	-0.53	0.581808	3.63954e-008
0.77	0.09	0.775242	1.25838e-008
0.15	-0.27	0.308869	3.78936e-007
-0.34	0.77	0.841724	9.28114e-009
0.09	0.7	0.705762	1.78113e-008
0.18	0.73	0.751864	1.40933e-008
0.14	-0.42	0.442719	1.00013e-007
0.83	-0.35	0.900777	7.2218e-009
-0.06	-0.72	0.722496	1.6332e-008
0.35	-0.84	0.91	6.95468e-009
0.6	-0.69	0.914385	6.83207e-009
0.11	0.89	0.896772	7.34187e-009
0.53	0.23	0.577754	3.73491e-008
0.43	0.49	0.65192	2.38897e-008
0.25	-0.59	0.640781	2.54627e-008
-0.36	0.31	0.475079	7.70365e-008
-0.43	-0.57	0.714003	1.70624e-008
0.01	0.47	0.470106	8.00948e-008
-0.94	-0.09	0.944299	6.06492e-009
-0.49	0.25	0.550091	4.4784e-008
-0.92	0.03	0.920489	6.66594e-009
-0.44	-0.16	0.468188	8.13158e-008
-0.92	0.2	0.941488	6.13218e-009
0.25	-0.1	0.269258	6.29658e-007
0.6	0.56	0.820731	1.01903e-008
-0.3	0.25	0.390512	1.59104e-007
0.75	-0.57	0.942019	6.1194e-009
-0.54	-0.41	0.678012	2.0661e-008
-0.3	0.78	0.835703	9.53097e-009
-0.02	0.81	0.810247	1.06868e-008
0	-0.74	0.74	1.49476e-008
0.28	-0.8	0.847585	9.04591e-009
0.86	0.28	0.904434	7.11437e-009
-0.31	0.8	0.857963	8.64763e-009
0.68	0.1	0.687314	1.96452e-008
0.64	-0.41	0.760066	1.35388e-008
-0.51	-0.22	0.555428	4.32124e-008
0.4	0.32	0.51225	5.82971e-008
0.36	-0.92	0.987927	5.13154e-009
0.45	-0.04	0.451774	9.27941e-008
-0.74	-0.44	0.86093	8.53787e-009
0.33	0.13	0.354683	2.27154e-007
0.18	-0.59	0.616847	2.93139e-008
0.42	-0.38	0.566392	4.01973e-008
0.66	-0.45	0.798812	1.12638e-008
0.31	-0.65	0.720139	1.65306e-008
-0.76	0.63	0.987168	5.14616e-009
-0.42	-0.11	0.434166	1.07499e-007
-0.42	-0.37	0.559732	4.19956e-008
-0.5	0.13	0.516624	5.64918e-008
-0.79	-0.43	0.899444	7.26148e-009
-0.63	-0.3	0.697782	1.85766e-008
-0.32	0.59	0.671193	2.14484e-008
-0.14	0.21	0.252389	7.99967e-007
-0.47	0.55	0.723464	1.62513e-008
-0.42	-0.7	0.816333	1.03949e-008
